,Player,span,mat,0,50,100,inns,No,Runs,HS,Avg,BF,SR,4s,6s,Bowl inns,Balls,Over,Mdns,Runs conceded,wkts,BBI,BBM,Bowl AVG,Econ,bowling SR,4 WICKETS IN AN INN,5 WICK
0,A Badoni (LSG),2023-2023,15,0,1,0,12,2,238,59*,23.80,172,138.37,13,12,0,0,0,0,0,0,0,0,0,0,0,0,0
1,A Madhwal (MI),2023-2023,8,0,0,0,0,0,0,0,0,0,0,0,0,8,153,25.3,0,219,14,5/5,5/5,15.64,8.58,10.92,1,1
2,A Manohar (GT),2023-2023,9,0,0,0,6,0,114,42,19.00,83,137.34,6,7,0,0,0,0,0,0,0,0,0,0,0,0,0
3,A Mishra (LSG),2023-2023,7,0,0,0,1,0,19,19,19.00,30,63.33,2,0,7,114,19.0,0,149,7,2/21,2/21,21.28,7.84,16.28,0,0
4,A Nortje (DC),2023-2023,10,1,0,0,7,4,37,23*,12.33,29,127.58,6,0,10,240,40.0,0,364,10,2/20,2/20,36.40,9.10,24.00,0,0
5,A Taide (PBKS),2023-2023,7,1,2,0,7,0,186,66,26.57,129,144.18,20,6,0,0,0,0,0,0,0,0,0,0,0,0,0
6,A Zampa (RR),2023-2023,6,0,0,0,3,0,10,7,3.33,16,62.50,0,0,6,132,22.0,0,188,8,3/22,3/22,23.50,8.54,16.50,0,0
7,AD Russell (KKR),2023-2023,14,1,0,0,14,3,227,42,20.63,156,145.51,13,18,9,91,15.1,0,172,7,3/22,3/22,24.57,11.34,13.00,0,0
8,AJ Hosein (SRH),2023-2023,1,0,0,0,1,1,16,16*,0,10,160.00,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
9,AK Markram (SRH),2023-2023,13,1,1,0,13,2,248,50,22.54,197,125.88,18,8,0,0,0,0,0,0,0,0,0,0,0,0,0
10,AM Rahane (CSK),2023-2023,14,0,2,0,11,1,326,71*,32.60,189,172.48,24,16,0,0,0,0,0,0,0,0,0,0,0,0,0
11,AR Patel (DC),2023-2023,14,0,1,0,13,3,283,54,28.30,203,139.40,21,15,13,282,47.0,0,338,11,2/13,2/13,30.72,7.19,25.63,0,0
12,AS Joseph (GT),2023-2023,7,0,0,0,2,2,7,7*,0,12,58.33,1,0,7,144,24.0,0,225,7,2/27,2/27,32.14,9.37,20.57,0,0
13,AS Roy (KKR),2023-2023,4,1,0,0,4,2,23,13*,11.50,19,121.05,3,0,3,48,8.0,0,65,3,2/19,2/19,21.66,8.12,16.00,0,0
14,AS Tendulkar (MI),2023-2023,4,0,0,0,1,0,13,13,13.00,9,144.44,0,1,4,59,9.5,0,92,3,1/9,1/9,30.66,9.35,19.66,0,0
15,AT Rayudu (CSK),2023-2023,16,1,0,0,12,2,158,27*,15.80,113,139.82,10,9,0,0,0,0,0,0,0,0,0,0,0,0,0
16,AU Rashid (SRH),2023-2023,2,0,0,0,2,0,22,18,11.00,16,137.50,2,1,2,42,7.0,0,56,2,2/23,2/23,28.00,8.00,21.00,0,0
17,Abdul Samad (SRH),2023-2023,9,0,0,0,8,4,169,37*,42.25,128,132.03,10,11,0,0,0,0,0,0,0,0,0,0,0,0,0
18,Abhishek Sharma (SRH),2023-2023,11,1,2,0,11,0,226,67,20.54,157,143.94,28,6,5,72,12.0,0,124,2,1/26,1/26,62.00,10.33,36.00,0,0
19,Abishek Porel (DC),2023-2023,4,0,0,0,4,0,33,20,8.25,31,106.45,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0
20,Akash Deep (RCB),2023-2023,2,0,0,0,1,0,17,17,17.00,8,212.50,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
21,Akash Singh (CSK),2023-2023,6,0,0,0,0,0,0,0,0,0,0,0,0,6,114,19.0,0,188,5,2/40,2/40,37.60,9.89,22.80,0,0
22,Aman Hakim Khan (DC),2023-2023,11,1,1,0,9,1,110,51,13.75,101,108.91,7,6,0,0,0,0,0,0,0,0,0,0,0,0,0
23,Anmolpreet Singh (SRH),2023-2023,4,0,0,0,4,0,105,36,26.25,82,128.04,15,2,0,0,0,0,0,0,0,0,0,0,0,0,0
24,Anuj Rawat (RCB),2023-2023,9,0,0,0,7,4,91,29*,30.33,71,128.16,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0
25,Arshad Khan (MI),2023-2023,6,0,0,0,3,1,18,15*,9.00,15,120.00,0,1,6,85,14.1,0,190,5,3/39,3/39,38.00,13.41,17.00,0,0
26,Arshdeep Singh (PBKS),2023-2023,14,0,0,0,0,0,0,0,0,0,0,0,0,14,305,50.5,0,493,17,4/29,4/29,29.00,9.69,17.94,1,1
27,Avesh Khan (LSG),2023-2023,9,0,0,0,0,0,0,0,0,0,0,0,0,9,174,29.0,0,283,8,3/25,3/25,35.37,9.75,21.75,0,0
28,B Kumar (SRH),2023-2023,14,0,0,0,6,3,42,27,14.00,47,89.36,4,0,14,306,51.0,1,425,16,5/30,5/30,26.56,8.33,19.12,0,0
29,B Sai Sudharsan (GT),2023-2023,8,0,3,0,8,1,362,96,51.71,256,141.40,33,12,0,0,0,0,0,0,0,0,0,0,0,0,0
30,BA Stokes (CSK),2023-2023,2,0,0,0,2,0,15,8,7.50,14,107.14,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,C Green (MI),2023-2023,16,0,2,1,16,7,452,100*,50.22,282,160.28,40,22,16,228,38.0,0,361,6,2/41,2/41,60.16,9.50,38.00,0,0
32,C Sakariya (DC),2023-2023,2,0,0,0,2,1,4,4,4.00,6,66.66,1,0,2,48,8.0,0,89,3,2/53,2/53,29.66,11.12,16.00,0,0
33,CJ Jordan (MI),2023-2023,6,0,0,0,2,0,6,4,3.00,12,50.00,0,0,6,132,22.0,1,237,3,1/7,1/7,79.00,10.77,44.00,0,0
34,CV Varun (KKR),2023-2023,14,0,0,0,0,0,0,0,0,0,0,0,0,14,316,52.4,1,429,20,4/15,4/15,21.45,8.14,15.80,1,1
35,D Padikkal (RR),2023-2023,11,0,2,0,11,1,261,52,26.10,200,130.50,31,6,0,0,0,0,0,0,0,0,0,0,0,0,0
36,D Wiese (KKR),2023-2023,3,0,0,0,3,2,21,12*,21.00,11,190.90,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
37,DA Miller (GT),2023-2023,16,1,0,0,13,5,259,46,32.37,178,145.50,18,13,0,0,0,0,0,0,0,0,0,0,0,0,0
38,DA Warner (DC),2023-2023,14,2,6,0,14,0,516,86,36.85,392,131.63,69,10,0,0,0,0,0,0,0,0,0,0,0,0,0
39,DC Jurel (RR),2023-2023,13,1,0,0,11,4,152,34*,21.71,88,172.72,11,9,0,0,0,0,0,0,0,0,0,0,0,0,0
40,DJ Hooda (LSG),2023-2023,12,0,0,0,12,1,84,17,7.63,90,93.33,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0
41,DJ Willey (RCB),2023-2023,4,0,0,0,3,3,35,20*,0,32,109.37,4,0,4,90,15.0,1,105,3,2/16,2/16,35.00,7.00,30.00,0,0
42,DL Chahar (CSK),2023-2023,10,0,0,0,0,0,0,0,0,0,0,0,0,10,204,34.0,0,297,13,3/22,3/22,22.84,8.73,15.69,0,0
43,DP Conway (CSK),2023-2023,16,1,6,0,15,2,672,92*,51.69,481,139.70,77,18,0,0,0,0,0,0,0,0,0,0,0,0,0
44,F du Plessis (RCB),2023-2023,14,0,8,0,14,1,730,84,56.15,475,153.68,60,36,0,0,0,0,0,0,0,0,0,0,0,0,0
45,Fazalhaq Farooqi (SRH),2023-2023,4,0,0,0,0,0,0,0,0,0,0,0,0,4,80,13.2,0,117,4,2/41,2/41,29.25,8.77,20.00,0,0
46,GD Phillips (SRH),2023-2023,5,1,0,0,5,0,39,25,7.80,22,177.27,2,4,2,18,3.0,0,20,1,1/10,1/10,20.00,6.66,18.00,0,0
47,GJ Maxwell (RCB),2023-2023,14,2,5,0,14,2,400,77,33.33,218,183.48,29,31,7,62,10.2,0,94,3,1/3,1/3,31.33,9.09,20.66,0,0
48,H Klaasen (SRH),2023-2023,12,0,2,1,11,2,448,104,49.77,253,177.07,32,25,0,0,0,0,0,0,0,0,0,0,0,0,0
49,HC Brook (SRH),2023-2023,11,3,0,1,11,2,190,100*,21.11,154,123.37,23,4,0,0,0,0,0,0,0,0,0,0,0,0,0
50,HH Pandya (GT),2023-2023,16,0,2,0,15,4,346,66,31.45,253,136.75,26,15,11,150,25.0,0,228,3,1/10,1/10,76.00,9.12,50.00,0,0
51,HR Shokeen (MI),2023-2023,8,0,0,0,3,2,23,18*,23.00,17,135.29,4,0,8,114,19.0,0,187,3,2/34,2/34,62.33,9.84,38.00,0,0
52,HV Patel (RCB),2023-2023,14,1,0,0,2,0,6,6,3.00,6,100.00,0,1,13,282,47.0,0,454,14,3/32,3/32,32.42,9.65,20.14,0,0
53,Harpreet Brar (PBKS),2023-2023,13,1,0,0,8,2,52,17*,8.66,41,126.82,5,2,11,163,27.1,0,218,9,4/30,4/30,24.22,8.02,18.11,1,1
54,Harpreet Singh (PBKS),2023-2023,3,0,0,0,3,0,76,41,25.33,59,128.81,8,3,0,0,0,0,0,0,0,0,0,0,0,0,0
55,Harshit Rana (KKR),2023-2023,6,0,0,0,0,0,0,0,0,0,0,0,0,6,102,17.0,0,147,5,2/33,2/33,29.40,8.64,20.40,0,0
56,I Sharma (DC),2023-2023,8,0,0,0,0,0,0,0,0,0,0,0,0,8,150,25.0,0,206,10,2/19,2/19,20.60,8.24,15.00,0,0
57,Ishan Kishan (MI),2023-2023,16,0,3,0,15,0,454,75,30.26,318,142.76,54,18,0,0,0,0,0,0,0,0,0,0,0,0,0
58,JB Little (GT),2023-2023,10,0,0,0,0,0,0,0,0,0,0,0,0,10,204,34.0,0,294,7,2/25,2/25,42.00,8.64,29.14,0,0
59,JC Archer (MI),2023-2023,5,0,0,0,2,2,4,3*,0,4,100.00,0,0,5,120,20.0,0,190,2,1/35,1/35,95.00,9.50,60.00,0,0
60,JC Buttler (RR),2023-2023,14,5,4,0,14,0,392,95,28.00,282,139.00,42,14,0,0,0,0,0,0,0,0,0,0,0,0,0
61,JD Unadkat (LSG),2023-2023,3,0,0,0,1,0,9,9,9.00,7,128.57,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,JE Root (RR),2023-2023,3,0,0,0,1,0,10,10,10.00,15,66.66,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,JJ Roy (KKR),2023-2023,8,0,2,0,8,0,285,61,35.62,188,151.59,36,12,0,0,0,0,0,0,0,0,0,0,0,0,0
64,JM Sharma (PBKS),2023-2023,14,1,0,0,14,1,309,49*,23.76,198,156.06,22,21,0,0,0,0,0,0,0,0,0,0,0,0,0
65,JO Holder (RR),2023-2023,8,1,0,0,3,1,12,11,6.00,11,109.09,0,1,8,171,28.3,0,284,4,2/29,2/29,71.00,9.96,42.75,0,0
66,JP Behrendorff (MI),2023-2023,12,0,0,0,2,2,6,3*,0,9,66.66,0,0,12,252,42.0,0,387,14,3/23,3/23,27.64,9.21,18.00,0,0
67,JR Hazlewood (RCB),2023-2023,3,0,0,0,0,0,0,0,0,0,0,0,0,3,54,9.0,0,76,3,2/15,2/15,25.33,8.44,18.00,0,0
68,K Gowtham (LSG),2023-2023,7,0,0,0,7,3,61,23,15.25,37,164.86,2,5,6,96,16.0,0,118,3,1/10,1/10,39.33,7.37,32.00,0,0
69,K Kartikeya (MI),2023-2023,8,0,0,0,1,0,6,6,6.00,7,85.71,1,0,8,156,26.0,0,227,5,2/37,2/37,45.40,8.73,31.20,0,0
70,K Khejroliya (KKR),2023-2023,2,0,0,0,0,0,0,0,0,0,0,0,0,2,26,4.2,0,64,2,2/44,2/44,32.00,14.76,13.00,0,0
71,K Rabada (PBKS),2023-2023,6,0,0,0,0,0,0,0,0,0,0,0,0,6,138,23.0,0,232,7,2/34,2/34,33.14,10.08,19.71,0,0
72,K Yadav (RR),2023-2023,2,0,0,0,0,0,0,0,0,0,0,0,0,2,42,7.0,0,68,2,1/18,1/18,34.00,9.71,21.00,0,0
73,KD Karthik (RCB),2023-2023,13,4,0,0,13,1,140,30,11.66,104,134.61,13,5,0,0,0,0,0,0,0,0,0,0,0,0,0
74,KH Pandya (LSG),2023-2023,15,3,0,0,14,4,188,49*,18.80,165,113.93,15,6,12,252,42.0,0,313,9,3/18,3/18,34.77,7.45,28.00,0,0
75,KK Ahmed (DC),2023-2023,9,0,0,0,0,0,0,0,0,0,0,0,0,9,198,33.0,2,301,9,2/24,2/24,33.44,9.12,22.00,0,0
76,KL Rahul (LSG),2023-2023,9,0,2,0,9,1,274,74,34.25,242,113.22,28,4,0,0,0,0,0,0,0,0,0,0,0,0,0
77,KM Asif (RR),2023-2023,4,0,0,0,0,0,0,0,0,0,0,0,0,4,84,14.0,0,138,3,2/42,2/42,46.00,9.85,28.00,0,0
78,KM Jadhav (RCB),2023-2023,2,0,0,0,1,1,12,12*,0,10,120.00,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79,KR Mayers (LSG),2023-2023,13,2,4,0,13,0,379,73,29.15,263,144.10,38,22,0,0,0,0,0,0,0,0,0,0,0,0,0
80,KS Sharma (LSG),2023-2023,2,0,0,0,2,0,12,9,6.00,21,57.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81,KV Sharma (RCB),2023-2023,7,0,0,0,2,0,3,2,1.50,5,60.00,0,0,7,129,21.3,0,223,10,2/19,2/19,22.30,10.37,12.90,0,0
82,Kuldeep Yadav (DC),2023-2023,14,2,0,0,10,8,31,10*,15.50,48,64.58,2,0,14,294,49.0,1,361,10,2/15,2/15,36.10,7.36,29.40,0,0
83,LS Livingstone (PBKS),2023-2023,9,0,2,0,9,1,279,94,34.87,171,163.15,20,19,5,42,7.0,0,94,2,1/19,1/19,47.00,13.42,21.00,0,0
84,Lalit Yadav (DC),2023-2023,6,0,0,0,6,1,66,38,13.20,59,111.86,8,0,4,78,13.0,0,118,2,1/29,1/29,59.00,9.07,39.00,0,0
85,Litton Das (KKR),2023-2023,1,0,0,0,1,0,4,4,4.00,4,100.00,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86,M Jansen (SRH),2023-2023,8,0,0,0,6,3,39,17*,13.00,43,90.69,4,0,8,162,27.0,1,267,10,2/16,2/16,26.70,9.88,16.20,0,0
87,M Markande (SRH),2023-2023,10,0,0,0,3,3,21,18*,0,13,161.53,2,1,10,228,38.0,0,300,12,4/15,4/15,25.00,7.89,19.00,1,1
88,M Pathirana (CSK),2023-2023,12,0,0,0,0,0,0,0,0,0,0,0,0,12,278,46.2,0,371,19,3/15,3/15,19.52,8.00,14.63,0,0
89,M Shahrukh Khan (PBKS),2023-2023,14,0,0,0,13,6,156,41*,22.28,94,165.95,13,9,0,0,0,0,0,0,0,0,0,0,0,0,0
90,M Theekshana (CSK),2023-2023,13,0,0,0,0,0,0,0,0,0,0,0,0,13,294,49.0,1,392,11,2/23,2/23,35.63,8.00,26.72,0,0
91,M Vohra (LSG),2023-2023,1,0,0,0,1,0,10,10,10.00,11,90.90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92,MA Agarwal (SRH),2023-2023,10,0,1,0,10,0,270,83,27.00,210,128.57,29,6,0,0,0,0,0,0,0,0,0,0,0,0,0
